"id","title","thumbnail_url","description","published_date","links","media","is_featured","featured_order"
"2","Vlog 2","https://qmkxkqxbhyxkqqyfshex.supabase.co/storage/v1/object/public/Blog/fahmida_blog_2.jpeg","In this second Vlog, we focus on design strategies, UI/UX patterns, and creative workflows for building visually appealing applications.","2026-02-10","github:https://github.com/farhan5384|GitHub Profile ; linkedin:https://bd.linkedin.com/in/fahmida-sultana-naznin|LinkedIn Profile ; external:https://www.researchgate.net/profile/Mst-Fahmida-Naznin|ResearchGate Profile","youtube:https://youtu.be/8rGnJrezDys?si=33FAQYMlhKtnXCFq|Vlog 2 Video 1 ; youtube:https://youtu.be/sFrKx15_XEM?si=YBww_3RsCutc8Ebd|Vlog 2 Video 2 ; image:https://qmkxkqxbhyxkqqyfshex.supabase.co/storage/v1/object/public/Blog/fahmida_blog_2.jpeg|Vlog 2 Thumbnail","true","1"
"3","Vlog 3","https://qmkxkqxbhyxkqqyfshex.supabase.co/storage/v1/object/public/Blog/fahmida_blog_3.jpeg","Vlog 3 dives into advanced JavaScript techniques, including asynchronous programming, closures, and event-driven architecture for modern web apps.","2026-02-10","github:https://github.com/MdSium003/DakPakhi|DakPakhi Repo ; external:https://en.wikipedia.org/wiki/Us|US Info ; external:https://en.wikipedia.org/wiki/Malyasia|Malaysia Info","youtube:https://youtu.be/p3BCOzVozYc?si=FzsEzeGR8DNOOi1M|Vlog 3 Video 1 ; youtube:https://youtu.be/NY3yWXWjYjA?si=8BcCtZBgoDnhfWyf|Vlog 3 Video 2 ; image:https://qmkxkqxbhyxkqqyfshex.supabase.co/storage/v1/object/public/Blog/fahmida_blog_3.jpeg|Vlog 3 Thumbnail","true","2"
"4","Vlog 4","https://qmkxkqxbhyxkqqyfshex.supabase.co/storage/v1/object/public/Blog/fahmida_blog_4.jpeg","This Vlog covers Python development, focusing on data manipulation, scripting, and building small projects to strengthen coding skills.","2026-02-10","external:https://en.wikipedia.org/wiki/Saudi|Saudi Info ; external:https://en.wikipedia.org/wiki/Qatar|Qatar Info ; external:https://www.researchgate.net/|ResearchGate","youtube:https://youtu.be/6y1fy7xeMeM?si=-ivTBO4R-CfuUmt3|Vlog 4 Video 1 ; youtube:https://youtu.be/sdio9USEjZ4?si=aT9T5YgoC0y65uuM|Vlog 4 Video 2 ; image:https://qmkxkqxbhyxkqqyfshex.supabase.co/storage/v1/object/public/Blog/fahmida_blog_4.jpeg|Vlog 4 Thumbnail","true","3"
"5","Vlog 5","https://qmkxkqxbhyxkqqyfshex.supabase.co/storage/v1/object/public/Blog/fahmida_blog.jpeg","Vlog 5 explores cloud development and deployment. Learn how to host projects, manage databases, and integrate APIs in real-world scenarios.","2026-02-10","github:https://github.com/iOfficeAI/AionUi|GitHub Repo ; external:https://en.wikipedia.org/wiki/Thailand|Thailand Info ; external:https://www.researchgate.net/|ResearchGate","youtube:https://youtu.be/262YdUeqNLI?si=2nLHh37Ep7MidzVm|Vlog 5 Video 1 ; youtube:https://youtu.be/0xmpEdbEPpc?si=UKRLUHqrNhQIOz5W|Vlog 5 Video 2 ; image:https://qmkxkqxbhyxkqqyfshex.supabase.co/storage/v1/object/public/Blog/fahmida_blog.jpeg|Vlog 5 Thumbnail","false",""
"6","Vlog 6","https://qmkxkqxbhyxkqqyfshex.supabase.co/storage/v1/object/public/Blog/fahmida_blog_2.jpeg","In this Vlog, we review popular frameworks, libraries, and tools for front-end development, helping you choose the best stack for your next project.","2026-02-10","github:https://github.com/farhan5384|GitHub Profile ; linkedin:https://bd.linkedin.com/in/fahmida-sultana-naznin|LinkedIn Profile ; external:https://www.researchgate.net/profile/Mst-Fahmida-Naznin|ResearchGate Profile","youtube:https://youtu.be/8rGnJrezDys?si=33FAQYMlhKtnXCFq|Vlog 6 Video 1 ; youtube:https://youtu.be/sFrKx15_XEM?si=YBww_3RsCutc8Ebd|Vlog 6 Video 2 ; image:https://qmkxkqxbhyxkqqyfshex.supabase.co/storage/v1/object/public/Blog/fahmida_blog_2.jpeg|Vlog 6 Thumbnail","false",""
"7","Vlog 7","https://qmkxkqxbhyxkqqyfshex.supabase.co/storage/v1/object/public/Blog/fahmida_blog_3.jpeg","Vlog 7 discusses testing and debugging practices. Learn how to write unit tests, debug effectively, and ensure your applications are reliable.","2026-02-10","github:https://github.com/MdSium003/DakPakhi|DakPakhi Repo ; external:https://en.wikipedia.org/wiki/Us|US Info ; external:https://en.wikipedia.org/wiki/Malyasia|Malaysia Info","youtube:https://youtu.be/p3BCOzVozYc?si=FzsEzeGR8DNOOi1M|Vlog 7 Video 1 ; youtube:https://youtu.be/NY3yWXWjYjA?si=8BcCtZBgoDnhfWyf|Vlog 7 Video 2 ; image:https://qmkxkqxbhyxkqqyfshex.supabase.co/storage/v1/object/public/Blog/fahmida_blog_3.jpeg|Vlog 7 Thumbnail","false",""
"8","Vlog 8","https://qmkxkqxbhyxkqqyfshex.supabase.co/storage/v1/object/public/Blog/fahmida_blog_4.jpeg","In Vlog 8, we focus on optimization techniques for web performance, code efficiency, and improving user experience through best practices.","2026-02-10","external:https://en.wikipedia.org/wiki/Saudi|Saudi Info ; external:https://en.wikipedia.org/wiki/Qatar|Qatar Info ; external:https://www.researchgate.net/|ResearchGate","youtube:https://youtu.be/6y1fy7xeMeM?si=-ivTBO4R-CfuUmt3|Vlog 8 Video 1 ; youtube:https://youtu.be/sdio9USEjZ4?si=aT9T5YgoC0y65uuM|Vlog 8 Video 2 ; image:https://qmkxkqxbhyxkqqyfshex.supabase.co/storage/v1/object/public/Blog/fahmida_blog_4.jpeg|Vlog 8 Thumbnail","false",""
"9","Vlog 9","https://qmkxkqxbhyxkqqyfshex.supabase.co/storage/v1/object/public/Blog/fahmida_blog.jpeg","Vlog 9 covers version control, Git workflows, and collaborative development tips for managing projects efficiently in teams.","2026-02-10","github:https://github.com/iOfficeAI/AionUi|GitHub Repo ; external:https://en.wikipedia.org/wiki/Thailand|Thailand Info ; external:https://www.researchgate.net/|ResearchGate","youtube:https://youtu.be/262YdUeqNLI?si=2nLHh37Ep7MidzVm|Vlog 9 Video 1 ; youtube:https://youtu.be/0xmpEdbEPpc?si=UKRLUHqrNhQIOz5W|Vlog 9 Video 2 ; image:https://qmkxkqxbhyxkqqyfshex.supabase.co/storage/v1/object/public/Blog/fahmida_blog.jpeg|Vlog 9 Thumbnail","false",""
"10","Vlog 10","https://qmkxkqxbhyxkqqyfshex.supabase.co/storage/v1/object/public/Blog/fahmida_blog_2.jpeg","The final Vlog in the series wraps up with career tips, learning resources, and guidance for aspiring developers to grow in the tech industry.","2026-02-10","github:https://github.com/farhan5384|GitHub Profile ; linkedin:https://bd.linkedin.com/in/fahmida-sultana-naznin|LinkedIn Profile ; external:https://www.researchgate.net/profile/Mst-Fahmida-Naznin|ResearchGate Profile","youtube:https://youtu.be/8rGnJrezDys?si=33FAQYMlhKtnXCFq|Vlog 10 Video 1 ; youtube:https://youtu.be/sFrKx15_XEM?si=YBww_3RsCutc8Ebd|Vlog 10 Video 2 ; image:https://qmkxkqxbhyxkqqyfshex.supabase.co/storage/v1/object/public/Blog/fahmida_blog_2.jpeg|Vlog 10 Thumbnail","false",""
"1","Vlog 1","https://qmkxkqxbhyxkqqyfshex.supabase.co/storage/v1/object/public/Education/Phd.jpeg","This is the first blog in the Vlog series. Here we discuss coding tips, best practices, and tutorials to help beginners and advanced developers improve their skills.","2026-02-10","github:https://github.com/iOfficeAI/AionUi|GitHub Repo ; external:https://en.wikipedia.org/wiki/Thailand|Thailand Info ; external:https://www.researchgate.net/|ResearchGate","youtube:https://youtu.be/262YdUeqNLI?si=2nLHh37Ep7MidzVm|Vlog 1 Video 1 ; youtube:https://youtu.be/0xmpEdbEPpc?si=UKRLUHqrNhQIOz5W|Vlog 1 Video 2 ; image:https://qmkxkqxbhyxkqqyfshex.supabase.co/storage/v1/object/public/Blog/fahmida_blog.jpeg|Vlog 1 Thumbnail ; image:https://qmkxkqxbhyxkqqyfshex.supabase.co/storage/v1/object/public/Education/Phd.jpeg|HIHI ; youtube:https://youtu.be/yrRpPEXkAgg?si=bV31dmOPvvf11R22|Vlog 1 Video 1","false",""
