"id","image_url","caption","display_order"
"1","/wall/(1).jpg","Global Research & Fellowship Collaboration","1"
"2","/wall/(2).jpg","Hardware Robotics SLAM & Microcontroller Prototyping","2"
"3","/wall/(3).jpg","Technical Presentation & Innovation Showcase","3"
"4","/wall/(4).jpg","3D Computer Vision & Autonomous Systems Experiments","4"
"5","/wall/(5).jpg","National Competition & Technology Honors","5"
"6","/wall/(6).jpg","Orange Corners Innovation Hub Fellowship","6"
"7","/wall/(7).jpg","Graduate Research & Biomedical Machine Learning Lab","7"
"8","/wall/(8).jpg","Academic Excellence & Institutional Leadership","8"
"9","/wall/(9).jpg","Holy Cross College Science & English Language Leadership","9"
"10","/wall/(10).jpg","BUET Computer Science & Engineering Milestones","10"
"11","/wall/(11).jpg","International Conference & Workshop Presentation","11"
"12","/wall/(12).jpg","Biomedical Engineering & AI Clinical Collaboration","12"
"13","/wall/(13).jpg","High Performance Computing Immersion Milestone","13"
"14","/wall/(14).jpg","Healthcare AI Startup Prototyping & Field Testing","14"
"15","/wall/(15).jpg","Global Summit Presentation on Clean Tech Innovation","15"
"16","/wall/(16).jpg","Advanced Deep Learning Research Lab Experiments","16"
"17","/wall/(17).jpg","National Hackathon & Idea Pitch Championship","17"
"18","/wall/(18).jpg","University Lecture & Technical Workshop Mentorship","18"
"19","/wall/(19).jpg","Autonomous Driving & Sensor Fusion Experiments","19"
"20","/wall/(20).jpg","Women in Tech Leadership & Community Mentorship","20"
"21","/wall/(21).jpg","International Research Fellowship Milestone","21"
"22","/wall/(22).jpg","Biomedical Imaging & Neural Network Prototyping","22"
"23","/wall/(23).jpg","Innovation Award Ceremony & Certificate Presentation","23"
"24","/wall/(24).jpg","Robotics SLAM Navigation Hardware Testing","24"
"25","/wall/(25).jpg","Global Healthcare Summit Delegation","25"
"26","/wall/(26).jpg","Academic Research Presentation & Poster Session","26"
"27","/wall/(27).jpg","Community Outreach & Educational Workshop","27"
"28","/wall/(28).jpg","Scientific Computing & Machine Learning Lab","28"
"29","/wall/(29).jpg","Tech Entrepreneurship Pitch & Investor Showcase","29"
"30","/wall/(30).jpg","Undergraduate Engineering Milestone & Celebration","30"
"31","/wall/(31).jpg","Global Supercomputing Immersion & Honors","31"
