"id","title","description","image_url","instagram_link","display_order"
"1","Geometric Lamp Shade","Made from recycled cardboard and old wooden rulers. The geometric pattern creates beautiful light patterns.","/images/up_1.jpeg","https://instagram.com/p/upcycle_lamp","1"
"2","Modern Plant Hangers","Created using discarded plastic bottles and old ropes. Each hanger has unique color patterns from the bottle designs.","/images/up_2.jpeg","https://instagram.com/p/plant_hangers","2"
"3","Upcycled Denim Bag","Made from 4 pairs of old jeans. Features multiple pockets and reinforced stitching for durability.","/images/up_3.jpeg","https://instagram.com/p/denim_bag_upcycle","3"
"4","Bottle Cap Wall Art","Collection of 500+ bottle caps arranged in a colorful mosaic pattern. Mounted on recycled wood board.","/images/up_4.jpeg","https://instagram.com/p/bottlecap_art","4"
"5","Sustainable Furniture Research","Research project exploring the use of recycled materials in modern furniture design. Focus on structural integrity.","/images/research_1.jpg","https://instagram.com/p/furniture_research","5"
"6","Material Innovation Study","Comparative analysis of different recycled materials for upcycling projects. Testing durability and aesthetics.","/images/research_2.jpg","https://instagram.com/p/material_study","6"
"7","Vintage Book Shelves","Old wooden crates transformed into rustic bookshelves. Sanded and treated with eco-friendly sealant.","/images/up_1.jpeg","https://instagram.com/p/book_shelves","7"
"8","Bicycle Parts Clock","Clock made from recycled bicycle chain, gears, and wheel. Functional timepiece with industrial aesthetic.","/images/up_2.jpeg","https://instagram.com/p/bike_clock","8"
"9","Pallet Wood Coffee Table","Coffee table constructed from reclaimed shipping pallets. Features built-in storage compartment.","/images/up_3.jpeg","https://instagram.com/p/pallet_table","9"
"10","Glass Jar Herb Garden","Vertical herb garden using recycled glass jars and old ladder. Self-watering system with recycled bottles.","/images/up_4.jpeg","https://instagram.com/p/herb_garden","10"
"11","Farhan er kisu","Made from recycled cardboard and old wooden rulers. The geometric pattern creates beautiful light patterns.","/images/up_1.jpeg","https://instagram.com/p/upcycle_lamp","11"
